,AJCC
AJCC,1.0
OID21449,0.7749866476396635
OID30688,0.7430706188561927
OID30638,0.710881803501923
OID30338,0.710881803501923
OID20704,0.7073355780815374
OID30634,0.6969696883911793
OID20932,0.695060182395587
OID21084,0.6928778898291958
OID30170,0.6928778898291958
OID30700,0.6871493718424191
OID30639,0.6849670792760278
OID20789,0.6811480672848433
OID21276,0.67951134786005
OID30580,0.6748739761564687
OID30690,0.6748739761564687
OID20975,0.6748739761564687
OID21414,0.6748739761564687
OID30249,0.6748739761564687
OID20630,0.6729644701608765
OID21027,0.668872671598893
OID20911,0.6675087387448986
OID20101,0.6615074341873228
OID20231,0.6609618610457251
OID20901,0.6568700624837416
OID20563,0.6555061296297471
OID30344,0.6549605564881493
OID20267,0.6544149833465515
OID20824,0.653323837063356
OID21115,0.6508687579261658
OID30637,0.6508687579261658
OID21338,0.6429579473729978
OID21131,0.6418668010898023
OID20690,0.6402300816650089
OID20770,0.6394117219526122
OID30591,0.6391389353818133
OID20955,0.6388661488110144
OID20751,0.6369566428154222
OID21310,0.6355927099614277
OID21418,0.6355927099614277
OID30367,0.6339559905366343
OID30380,0.6339559905366343
OID20378,0.6301369785454498
OID20749,0.6252268202710697
OID21048,0.6252268202710697
OID30386,0.6249540337002707
OID21018,0.6249540337002707
OID30697,0.6230445277046784
OID20755,0.6214078082798851
OID20178,0.6151337171515104
OID21016,0.6148609305807116
OID21311,0.6148609305807116
OID30294,0.6148609305807116
OID21454,0.6115874917311248
OID30635,0.6110419185895271
OID20348,0.6104963454479293
OID20141,0.6088596260231359
OID30913,0.6088596260231359
OID21344,0.6088596260231359
OID31506,0.6088596260231359
OID30694,0.605858973744348
OID30350,0.6050406140319513
OID20137,0.6050406140319513
OID21390,0.6039494677487558
OID21294,0.6039494677487558
OID30394,0.6039494677487558
OID21128,0.603131108036359
OID20776,0.603131108036359
OID20542,0.6028583214655602
OID21463,0.6012216020407668
OID21333,0.5974025900495823
OID20721,0.5968570169079844
OID30590,0.5968570169079844
OID21088,0.5930380049167999
OID20697,0.5930380049167999
OID20244,0.5908557123504088
OID20194,0.5908557123504088
OID21191,0.5905829257796098
OID21033,0.5903101392088109
OID21108,0.5894917794964143
OID21112,0.5892189929256154
OID21098,0.5892189929256154
OID20265,0.5884006332132187
OID21485,0.5884006332132187
OID20645,0.5870367003592242
OID30410,0.5862183406468275
OID21431,0.5853999809344308
OID21124,0.5853999809344308
OID21174,0.584854407792833
OID30289,0.584854407792833
OID31079,0.584854407792833
OID20260,0.5837632615096374
OID21284,0.5837632615096374
OID31118,0.5829449017972408
OID20360,0.582126542084844
OID20234,0.5810353958016485
OID20262,0.5802170360892518
OID21226,0.5788531032352573
OID20190,0.5775603028777303
OID21417,0.5774891703812628
OID20336,0.576943597239665
OID30651,0.576943597239665
OID20327,0.5753068778148717
OID20206,0.574215731531676
OID30641,0.5739429449608772
OID20744,0.5733973718192794
OID20410,0.5728517986776817
OID21356,0.5728517986776817
OID20284,0.5728517986776817
OID20146,0.5728517986776817
OID21144,0.5701239329696927
OID20782,0.5687600001156982
OID21379,0.5682144269741004
OID21155,0.566577707549307
OID21114,0.5652137746953125
OID20316,0.5649409881245137
OID21469,0.5643954149829158
OID21043,0.563849841841318
OID21160,0.5630314821289214
OID20397,0.5627586955581224
OID30161,0.5608491895625302
OID20921,0.5608491895625302
OID20923,0.5608491895625302
OID21029,0.5589396835669379
OID30716,0.5575757507129434
OID30731,0.5564846044297479
OID30347,0.5556662447173512
OID30283,0.5548478850049545
OID21458,0.5548478850049545
OID30384,0.5548478850049545
OID20948,0.5548478850049545
OID20623,0.5548478850049545
OID21137,0.5548478850049545
OID30290,0.5548478850049545
OID20903,0.5548478850049545
OID21145,0.5545750984341555
OID20323,0.5543023118633567
OID30321,0.5529383790093622
OID30689,0.5526655924385633
OID20724,0.5523928058677644
OID20148,0.5510288730137699
OID20935,0.5491193670181777
OID30345,0.5491193670181777
OID20143,0.5488465804473788
OID20692,0.5488465804473788
OID20952,0.5488465804473788
OID21345,0.5488465804473788
OID31112,0.5488465804473788
OID30529,0.5488465804473788
OID20411,0.5485737938765799
OID21049,0.548301007305781
OID20315,0.548028220734982
OID21023,0.5466642878809876
OID21461,0.5444819953145964
OID30291,0.5439364221729986
OID20673,0.5436636356021998
OID21479,0.5433908490314009
OID30658,0.542845275889803
OID30563,0.542845275889803
OID21360,0.542845275889803
OID30272,0.542845275889803
OID20731,0.5425724893190041
OID20583,0.5420269161774064
OID30469,0.5412085564650096
OID21073,0.5409357698942108
OID20714,0.5368439713322274
OID20572,0.5368439713322274
OID20199,0.5368439713322274
OID31126,0.5368439713322274
OID21299,0.5368439713322274
OID20774,0.5357528250490318
OID31482,0.534934465336635
OID21031,0.534934465336635
OID20272,0.5346616787658361
OID20764,0.5343888921950373
OID20985,0.5338433190534395
OID21509,0.5332977459118416
OID30631,0.5330249593410428
OID30779,0.5327521727702439
OID20703,0.532479386199445
OID30588,0.532479386199445
OID30405,0.532479386199445
OID21039,0.5322065996286461
OID21063,0.5316610264870483
OID30657,0.5308426667746516
OID20114,0.5308426667746516
OID21153,0.5300243070622549
OID30312,0.5292059473498583
OID30597,0.5289331607790594
OID30767,0.5289331607790594
OID21014,0.5283875876374615
OID30346,0.527296441354266
OID20785,0.5270236547834671
OID30643,0.5264780816418693
OID20694,0.5248413622170759
OID20203,0.5248413622170759
OID20680,0.5248413622170759
OID30701,0.5242957890754781
OID21474,0.5229318562214836
OID21432,0.5210223502258914
OID21244,0.5210223502258914
OID30680,0.5210223502258914
OID30628,0.5210223502258914
OID21010,0.5207495636550925
OID21316,0.5199312039426958
OID20675,0.5191128442302991
OID20144,0.5188400576595003
OID20135,0.5188400576595003
OID31029,0.5188400576595003
OID30281,0.5177489113763046
OID30623,0.5169305516639079
OID20209,0.5169305516639079
OID21062,0.516657765093109
OID21045,0.5150210456683156
OID30594,0.5150210456683156
OID21501,0.5128387531019245
OID20150,0.5128387531019245
OID30230,0.5128387531019245
OID20297,0.5125659665311256
OID20418,0.5125659665311256
OID30304,0.5109292471063323
OID21527,0.5106564605355334
OID20732,0.5082013813983433
OID21247,0.5073830216859466
OID20225,0.5071102351151476
OID31141,0.5068374485443488
OID20620,0.5068374485443488
OID30329,0.5068374485443488
OID30656,0.5068374485443488
OID20775,0.5060190888319521
OID20096,0.5049279425487565
OID20195,0.5049279425487565
OID30335,0.5049279425487565
OID30762,0.5046551559779576
OID20765,0.5038367962655609
OID21496,0.5030184365531642
OID30262,0.5022000768407675
OID20693,0.5022000768407675
OID20342,0.5016545036991698
OID30365,0.5013817171283709
OID30721,0.501108930557572
OID21021,0.5008361439867731
OID20937,0.5008361439867731
